address,status__name,namespace__name,type,dns_name,tenant__name
10.42.0.16/24,Active,Global,host,ip-10-42-192-32.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.17/24,Active,Global,host,ip-10-42-192-33.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.18/24,Active,Global,host,ip-10-42-192-34.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.19/24,Active,Global,host,ip-10-42-192-35.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.0/24,Active,Global,host,ip-10-43-192-0.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.1/24,Active,Global,host,ip-10-43-192-1.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.2/24,Active,Global,host,ip-10-43-192-2.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.3/24,Active,Global,host,ip-10-43-192-3.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.4/24,Active,Global,host,ip-10-43-192-4.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.5/24,Active,Global,host,ip-10-43-192-5.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.6/24,Active,Global,host,ip-10-43-192-6.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.7/24,Active,Global,host,ip-10-43-192-7.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.8/24,Active,Global,host,ip-10-43-192-8.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.9/24,Active,Global,host,ip-10-43-192-9.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.10/24,Active,Global,host,ip-10-43-192-10.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.11/24,Active,Global,host,ip-10-43-192-11.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.12/24,Active,Global,host,ip-10-43-192-12.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.13/24,Active,Global,host,ip-10-43-192-13.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.14/24,Active,Global,host,ip-10-43-192-14.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.15/24,Active,Global,host,ip-10-43-192-15.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.16/24,Active,Global,host,ip-10-43-192-16.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.17/24,Active,Global,host,ip-10-43-192-17.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.18/24,Active,Global,host,ip-10-43-192-18.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.19/24,Active,Global,host,ip-10-43-192-19.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.20/24,Active,Global,host,ip-10-43-192-20.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.21/24,Active,Global,host,ip-10-43-192-21.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.22/24,Active,Global,host,ip-10-43-192-22.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.23/24,Active,Global,host,ip-10-43-192-23.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.24/24,Active,Global,host,ip-10-43-192-24.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.25/24,Active,Global,host,ip-10-43-192-25.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.26/24,Active,Global,host,ip-10-43-192-26.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.27/24,Active,Global,host,ip-10-43-192-27.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.28/24,Active,Global,host,ip-10-43-192-28.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.29/24,Active,Global,host,ip-10-43-192-29.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.30/24,Active,Global,host,ip-10-43-192-30.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.31/24,Active,Global,host,ip-10-43-192-31.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.32/24,Active,Global,host,ip-10-43-192-32.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.33/24,Active,Global,host,ip-10-43-192-33.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.34/24,Active,Global,host,ip-10-43-192-34.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.43.0.35/24,Active,Global,host,ip-10-43-192-35.p2p.kol01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.0/24,Active,Global,host,ip-10-44-192-0.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.1/24,Active,Global,host,ip-10-44-192-1.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.2/24,Active,Global,host,ip-10-44-192-2.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.3/24,Active,Global,host,ip-10-44-192-3.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.4/24,Active,Global,host,ip-10-44-192-4.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.5/24,Active,Global,host,ip-10-44-192-5.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.6/24,Active,Global,host,ip-10-44-192-6.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.7/24,Active,Global,host,ip-10-44-192-7.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.8/24,Active,Global,host,ip-10-44-192-8.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.9/24,Active,Global,host,ip-10-44-192-9.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.10/24,Active,Global,host,ip-10-44-192-10.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.11/24,Active,Global,host,ip-10-44-192-11.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.12/24,Active,Global,host,ip-10-44-192-12.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.13/24,Active,Global,host,ip-10-44-192-13.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.14/24,Active,Global,host,ip-10-44-192-14.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.15/24,Active,Global,host,ip-10-44-192-15.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.16/24,Active,Global,host,ip-10-44-192-16.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.17/24,Active,Global,host,ip-10-44-192-17.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.18/24,Active,Global,host,ip-10-44-192-18.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.19/24,Active,Global,host,ip-10-44-192-19.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.20/24,Active,Global,host,ip-10-44-192-20.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.21/24,Active,Global,host,ip-10-44-192-21.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.22/24,Active,Global,host,ip-10-44-192-22.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.23/24,Active,Global,host,ip-10-44-192-23.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.24/24,Active,Global,host,ip-10-44-192-24.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.25/24,Active,Global,host,ip-10-44-192-25.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.26/24,Active,Global,host,ip-10-44-192-26.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.27/24,Active,Global,host,ip-10-44-192-27.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.28/24,Active,Global,host,ip-10-44-192-28.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.29/24,Active,Global,host,ip-10-44-192-29.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.30/24,Active,Global,host,ip-10-44-192-30.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.31/24,Active,Global,host,ip-10-44-192-31.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.32/24,Active,Global,host,ip-10-44-192-32.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.33/24,Active,Global,host,ip-10-44-192-33.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.34/24,Active,Global,host,ip-10-44-192-34.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
10.44.0.35/24,Active,Global,host,ip-10-44-192-35.p2p.lon01.fb.nautobot.com,Nautobot Football Stadiums
